Name,Phone,Date,Duration_timespan,Duration_Sec
"Zakary Jerde","7558066525","11/02/23 07:13:22 PM","00:50:19","19"
"Tiara Blick","8544178677","12/10/22 06:36:01 PM","00:59:57","57"
"Roberta Gorczany","6782844083","09/10/21 02:47:25 PM","00:22:49","49"
"Eulalia Carter","6620381605","27/02/22 03:48:38 AM","00:20:37","37"
"Melisa Becker","6434263388","05/05/22 08:38:30 AM","00:31:13","13"
"Kali Blanda","6174001627","08/02/21 09:02:14 PM","00:24:20","20"
"Adolphus McGlynn","7674284835","04/06/21 10:22:18 AM","00:31:27","27"
"Abigayle Barton","8425588575","05/04/21 12:00:13 AM","00:35:37","37"
"Jarod Tromp","6738863880","10/04/22 05:11:36 PM","00:10:33","33"
"Zakary Jerde","7558066525","22/12/22 11:54:20 PM","00:01:08","8"
"Judy Kertzmann","8668211071","09/07/21 01:35:50 PM","00:14:38","38"
"Horace Kirlin","8441388320","17/03/22 09:15:21 AM","00:39:46","46"
"Jordan Toy","6637305371","24/01/21 10:19:10 AM","00:57:48","48"
"Brigitte Wyman","8177025320","26/09/21 03:20:33 PM","00:42:46","46"
"Jose Brekke","6667002384","06/06/21 09:57:17 PM","00:34:07","7"
"Elbert Reichel","8812480763","16/05/23 08:31:50 PM","00:45:13","13"
"Elizabeth Kerluke","7641637280","08/01/21 06:45:59 AM","00:34:35","35"
"Adriel Kiehn","7143743413","21/02/23 05:20:14 AM","00:17:01","1"
"Myriam Hauck","7363548621","24/04/23 06:33:01 PM","00:27:56","56"
"Jordyn Kunde","8074652402","20/01/21 11:16:03 PM","00:10:14","14"
"Kali Blanda","6174001627","08/04/21 08:11:53 PM","00:44:57","57"
"Noe Howe","8642773250","16/01/23 08:29:30 PM","00:14:49","49"
"Tabitha Abshire","7511163240","21/03/22 12:24:31 AM","00:39:46","46"
"Jane Prosacco","7618060341","21/04/22 11:35:02 PM","00:54:17","17"
"Jacques Kessler","8027520724","29/09/22 08:22:51 PM","00:20:09","9"
"Ross Ondricka","8874661140","24/05/21 07:01:35 AM","00:00:16","16"
"Barrett Ritchie","8621786146","23/09/22 03:50:34 AM","00:41:04","4"
"Rhianna Towne","6388062322","02/09/22 05:09:26 PM","00:49:44","44"
"Alice Spencer","8868223038","27/12/21 03:53:35 PM","00:06:54","54"
"Clovis Boyer","7672443644","21/09/21 11:38:44 PM","00:28:55","55"
"Theron Osinski","6656424264","26/10/21 07:31:47 AM","00:01:19","19"
"Jacques Kessler","8027520724","03/03/23 08:27:51 PM","00:13:33","33"
"Tiara Blick","8544178677","03/11/21 06:06:09 AM","00:17:23","23"
"Alice Spencer","8868223038","22/01/22 07:52:57 PM","00:19:12","12"
"Ross Ondricka","8874661140","09/11/22 06:29:15 AM","00:58:06","6"
"Dexter Rodriguez","7567834867","10/06/23 02:43:01 PM","00:24:18","18"
"Hailee Dooley","8500332382","17/08/22 12:18:31 AM","00:11:54","54"
"Judy Kertzmann","8668211071","18/03/23 08:43:51 AM","00:10:44","44"
"Cristopher Gislason","6542362170","21/12/22 03:29:02 AM","00:53:06","6"
"Wellington Grimes","6066455212","26/06/23 07:54:55 AM","00:52:32","32"
"Lenna Lueilwitz","6336328528","02/05/21 07:42:30 AM","00:45:38","38"
"Onie Yundt","8474018636","29/01/22 07:03:24 AM","00:50:29","29"
"Mireya Gusikowski","6171017041","02/02/21 02:41:20 AM","00:18:23","23"
"Theron Osinski","6656424264","07/12/22 11:58:57 AM","00:31:54","54"
"Theron Osinski","6656424264","30/09/21 01:01:38 PM","00:36:54","54"
"Gerard Bechtelar","7356483774","04/04/22 01:49:35 AM","00:15:40","40"
"Gail Kunde","7144608124","29/12/21 10:08:12 AM","00:06:35","35"
"Onie Yundt","8474018636","23/10/22 07:41:48 PM","00:29:25","25"
"Rudy Gleichner","8158818283","13/06/21 04:18:33 AM","00:46:50","50"
"Hailee Dooley","8500332382","19/03/22 06:00:06 AM","00:48:46","46"
"Lucienne Konopelski","6800123174","02/06/22 02:57:24 AM","00:59:40","40"
"Theo Kihn","6825544206","10/10/21 04:22:06 PM","00:06:08","8"
"Monique Effertz","7226776178","21/05/23 06:55:01 PM","00:02:13","13"
"Mina Jones","8122755614","12/03/21 07:49:58 PM","00:32:58","58"
"Dexter Rodriguez","7567834867","24/04/22 05:21:36 AM","00:55:43","43"
"Clovis Boyer","7672443644","01/07/23 11:43:48 AM","00:22:48","48"
"Tabitha Abshire","7511163240","24/04/22 02:05:43 PM","00:23:18","18"
"Elizabeth Kerluke","7641637280","04/10/22 02:01:28 PM","00:01:34","34"
"Cristopher Gislason","6542362170","04/12/22 01:29:56 AM","00:44:20","20"
"Meagan Torp","8815612476","09/12/21 12:27:39 PM","00:33:44","44"
"Kennedy Borer","7307402025","19/10/22 05:31:43 PM","00:02:45","45"
"Kim Lesch","8671863255","02/03/23 02:33:04 PM","00:12:41","41"
"Buck Erdman","7420567307","09/04/21 06:12:24 PM","00:36:17","17"
"Gail Kunde","7144608124","24/04/23 03:53:26 PM","00:24:31","31"
"Alisa Schoen","6264071647","03/07/23 11:36:05 AM","00:37:19","19"
"Alisa Schoen","6264071647","10/09/22 10:11:32 PM","00:24:53","53"
"Leonel Crona","6626720382","16/10/22 05:20:00 PM","00:55:01","1"
"Zula Davis","7505507610","27/05/23 08:16:24 PM","00:33:17","17"
"Jasmin Balistreri","6856377365","10/04/23 05:58:05 PM","00:58:37","37"
"Morris Goldner","8880873376","06/04/21 01:18:26 PM","00:54:40","40"
"Arjun Emmerich","6741632365","06/08/22 02:56:13 PM","00:37:31","31"
"Clovis Boyer","7672443644","17/03/22 06:51:25 AM","00:15:05","5"
"Madie Christiansen","8134067075","14/11/21 02:13:08 AM","00:47:28","28"
"Noe Howe","8642773250","25/09/21 12:03:16 AM","00:38:38","38"
"Barrett Ritchie","8621786146","02/07/21 01:07:53 PM","00:30:46","46"
"Connor Ward","7726866607","19/04/23 09:07:07 PM","00:14:18","18"
"Tabitha Abshire","7511163240","21/05/23 11:46:27 AM","00:24:28","28"
"Rudy Gleichner","8158818283","10/02/23 02:09:37 PM","00:55:55","55"
"Jane Prosacco","7618060341","25/12/22 09:18:42 PM","00:09:22","22"
"Catharine Dare","7475065872","27/05/22 02:07:47 PM","00:09:52","52"
"Buck Erdman","7420567307","27/02/22 12:21:25 AM","00:10:45","45"
"Connor Ward","7726866607","21/12/22 02:28:07 AM","00:18:31","31"
"Kara Hackett","8371131081","04/02/22 12:18:03 AM","00:34:08","8"
"Kali Blanda","6174001627","04/01/21 01:16:14 AM","00:43:42","42"
"Lenna Lueilwitz","6336328528","03/06/23 09:19:29 AM","00:16:13","13"
"Cristopher Gislason","6542362170","17/11/22 01:39:49 PM","00:34:15","15"
"Gust Mueller","8615272163","09/10/21 02:26:33 AM","00:36:59","59"
"Meagan Torp","8815612476","11/04/22 08:18:27 AM","00:25:05","5"
"Reginald Wuckert","7171250628","15/07/22 02:58:48 AM","00:23:11","11"
"Lenna Lueilwitz","6336328528","15/08/22 10:14:24 PM","00:53:21","21"
"Gerard Bechtelar","7356483774","26/01/23 09:41:26 AM","00:54:10","10"
"Zula Davis","7505507610","08/12/22 10:04:00 PM","00:29:18","18"
"Elizabeth Kerluke","7641637280","02/07/23 02:17:37 PM","00:59:23","23"
"Carroll Rowe","7483527142","14/02/21 07:18:38 AM","00:25:30","30"
"Lucious Grant","6212311665","18/01/21 08:20:13 AM","00:36:14","14"
"Jasmin Balistreri","6856377365","14/07/21 05:51:06 AM","00:25:13","13"
"Darren Heathcote","7444817032","10/01/22 02:29:58 AM","00:07:38","38"
"Brigitte Wyman","8177025320","19/12/22 08:39:52 PM","00:09:42","42"
"Mauricio Wilderman","6415734707","15/04/23 05:51:03 PM","00:14:10","10"
"Darren Heathcote","7444817032","25/02/22 04:39:13 PM","00:23:05","5"
"Kennedy Borer","7307402025","18/06/21 07:42:47 AM","00:33:18","18"
"Zula Davis","7505507610","01/11/22 06:29:47 AM","00:53:08","8"
"Shaniya Shields","8214805385","06/07/23 01:49:40 PM","00:43:47","47"
"Kali Blanda","6174001627","27/03/23 06:30:28 PM","00:40:31","31"
"Alisa Schoen","6264071647","18/06/22 10:11:23 AM","00:12:21","21"
"Tiara Blick","8544178677","29/04/21 05:52:40 AM","00:08:27","27"
"Destini Hilll","7748632750","08/03/22 06:18:41 PM","00:52:21","21"
"Kara Hackett","8371131081","27/01/21 12:46:02 AM","00:00:31","31"
"Buck Erdman","7420567307","09/02/23 02:52:11 AM","00:07:06","6"
"Lenna Lueilwitz","6336328528","17/09/21 10:42:58 AM","00:15:40","40"
"Mireya Gusikowski","6171017041","04/01/22 10:07:18 PM","00:02:24","24"
"Isom Schumm","6287361620","07/04/21 02:48:52 PM","00:08:43","43"
"Gust Mueller","8615272163","11/03/23 09:13:44 PM","00:53:12","12"
"Norval Runolfsson","8271406530","22/04/21 03:10:58 PM","00:51:43","43"
"Horace Kirlin","8441388320","01/11/22 06:28:42 AM","00:43:34","34"
"Gerard Bechtelar","7356483774","25/04/23 12:54:50 PM","00:18:30","30"
"Tabitha Abshire","7511163240","01/06/22 09:31:41 AM","00:21:09","9"
"Rocio Lynch","8275473471","24/07/21 01:35:55 AM","00:26:30","30"
"Clovis Boyer","7672443644","28/07/22 04:48:19 PM","00:37:32","32"
"Kali Blanda","6174001627","23/04/21 02:39:09 PM","00:11:18","18"
"Kim Lesch","8671863255","24/11/21 12:02:33 PM","00:51:48","48"
"Morris Goldner","8880873376","27/09/22 10:15:06 PM","00:13:04","4"
"Rudy Gleichner","8158818283","14/10/21 12:02:37 PM","00:29:41","41"
"Jasmin Balistreri","6856377365","16/06/21 01:59:55 PM","00:25:00","0"
"Sydnie Adams","6111075846","18/05/23 05:13:10 AM","00:04:48","48"
"Theo Kihn","6825544206","18/04/21 08:11:33 AM","00:26:03","3"
"Catharine Dare","7475065872","20/05/21 11:12:56 AM","00:59:47","47"
"Tabitha Abshire","7511163240","28/05/21 03:16:03 AM","00:52:09","9"
"Elizabeth Kerluke","7641637280","29/05/22 06:12:02 AM","00:29:59","59"
"Alayna Glover","8154056327","01/08/21 08:23:39 PM","00:16:44","44"
"Grady Wintheiser","6252764861","21/06/22 01:01:48 PM","00:51:42","42"
"Buck Erdman","7420567307","06/09/22 09:19:31 PM","00:57:14","14"
"Connor Ward","7726866607","30/01/22 09:58:41 AM","00:07:23","23"
"Theron Osinski","6656424264","06/01/21 02:50:21 AM","00:32:07","7"
"Amos Wisoky","7524067281","11/04/21 09:58:31 AM","00:05:55","55"
"Meagan Torp","8815612476","02/02/22 11:02:06 PM","00:10:29","29"
"Osbaldo Frami","6363788523","15/12/22 06:45:03 AM","00:56:35","35"
"Mauricio Wilderman","6415734707","27/04/21 09:51:53 PM","00:15:54","54"
"Heaven Oberbrunner","6142278425","02/12/21 02:43:17 PM","00:11:40","40"
"Loy Anderson","7751552622","11/02/22 01:55:18 PM","00:50:32","32"
"Jane Prosacco","7618060341","27/08/22 04:02:41 PM","00:31:27","27"
"Grady Wintheiser","6252764861","15/04/21 01:27:33 PM","00:21:41","41"
"Abigayle Barton","8425588575","27/06/21 03:22:37 AM","00:36:25","25"
"Gerard Bechtelar","7356483774","15/01/22 07:17:30 AM","00:24:04","4"
"Mina Jones","8122755614","03/11/21 08:32:01 PM","00:38:53","53"
"Kim Lesch","8671863255","31/03/23 09:33:24 PM","00:40:50","50"
"Nash Cummings","8558821633","15/03/21 05:13:13 PM","00:02:37","37"
"Cristopher Gislason","6542362170","12/09/22 09:21:36 PM","00:48:21","21"
"Hallie Walsh","8125458303","07/04/23 06:45:32 AM","00:48:13","13"
"Zula Davis","7505507610","09/06/21 04:08:44 PM","00:22:18","18"
"Wellington Grimes","6066455212","24/03/21 10:35:35 PM","00:34:38","38"
"Eulalia Carter","6620381605","14/04/23 08:05:39 AM","00:25:57","57"
"Catharine Dare","7475065872","11/11/21 11:10:25 AM","00:35:35","35"
"Jada Kunze","6817842047","25/03/21 11:29:44 AM","00:43:29","29"
"Gust Mueller","8615272163","13/02/21 03:17:38 PM","00:38:20","20"
"Adriel Kiehn","7143743413","12/03/23 05:08:53 AM","00:59:01","1"
"Jada Kunze","6817842047","12/04/22 12:42:33 AM","00:38:08","8"
"Adolphus McGlynn","7674284835","06/04/22 08:36:06 AM","00:55:44","44"
"Sydnie Adams","6111075846","15/07/21 09:52:53 PM","00:56:11","11"
"Hailee Dooley","8500332382","24/02/21 09:48:19 PM","00:45:17","17"
"Jane Prosacco","7618060341","29/04/21 05:37:04 AM","00:59:00","0"
"Gust Mueller","8615272163","26/12/21 01:32:40 AM","00:56:44","44"
"Shaniya Shields","8214805385","07/07/21 04:58:15 PM","00:22:53","53"
"Kara Hackett","8371131081","25/12/21 08:37:29 AM","00:33:41","41"
"Morris Goldner","8880873376","25/05/22 05:02:53 AM","00:44:42","42"
"Kali Blanda","6174001627","13/05/22 01:49:27 AM","00:15:25","25"
"Jordan Toy","6637305371","19/10/21 12:12:18 AM","00:56:14","14"
"Catharine Dare","7475065872","16/11/22 07:30:55 AM","00:14:53","53"
"Mireya Gusikowski","6171017041","28/10/21 03:30:44 AM","00:29:28","28"
"Jose Brekke","6667002384","10/08/21 02:57:18 PM","00:10:16","16"
"Catharine Dare","7475065872","06/01/22 11:41:49 AM","00:42:02","2"
"Alice Spencer","8868223038","10/05/21 07:48:27 AM","00:15:07","7"
"Buck Erdman","7420567307","04/07/21 06:57:47 AM","00:11:27","27"
"Barrett Ritchie","8621786146","04/06/22 12:00:21 PM","00:09:05","5"
"Rudy Gleichner","8158818283","12/01/23 05:29:41 AM","00:28:55","55"
"Selmer Moen","8073015233","11/04/23 10:26:28 AM","00:20:20","20"
"Rudy Gleichner","8158818283","16/01/23 02:27:22 AM","00:55:11","11"
"Amos Wisoky","7524067281","26/04/22 09:19:51 AM","00:29:15","15"
"Margret Veum","8008140110","21/05/23 10:22:40 AM","00:27:08","8"
"Heaven Oberbrunner","6142278425","11/12/22 09:35:58 PM","00:18:32","32"
"Catharine Dare","7475065872","21/12/21 02:02:51 PM","00:45:54","54"
"Destini Hilll","7748632750","02/01/21 12:37:13 AM","00:04:59","59"
"Bradley Herman","8134657302","10/10/21 08:24:46 AM","00:25:50","50"
"Alexandro Heidenreich","7016647153","22/05/23 12:59:29 AM","00:49:10","10"
"Grady Wintheiser","6252764861","21/02/21 06:08:26 AM","00:09:14","14"
"Isom Schumm","6287361620","31/08/21 01:13:36 AM","00:55:22","22"
"Jasmin Balistreri","6856377365","12/09/21 01:48:09 AM","00:41:39","39"
"Jane Prosacco","7618060341","03/05/22 09:14:00 PM","00:51:19","19"
"Grayson Kris","6446678835","26/01/21 11:45:21 PM","00:30:36","36"
"Alice Spencer","8868223038","10/01/22 03:16:55 PM","00:05:53","53"
"Shaniya Shields","8214805385","23/01/21 10:50:07 AM","00:20:57","57"
"Mauricio Wilderman","6415734707","30/01/21 12:35:11 AM","00:10:08","8"
"Thad Sawayn","8187164073","31/12/21 11:24:33 PM","00:31:41","41"
"Marcus Homenick","8100511881","24/03/22 02:19:27 AM","00:51:13","13"
"Grayson Kris","6446678835","25/02/23 03:45:31 PM","00:16:53","53"
"Jasmin Balistreri","6856377365","19/04/22 11:21:35 PM","00:36:18","18"
"Grayson Kris","6446678835","16/09/22 10:55:58 PM","00:17:54","54"
"Elbert Reichel","8812480763","25/05/22 01:14:53 AM","00:21:21","21"
"Mina Jones","8122755614","09/03/23 11:54:36 AM","00:24:04","4"
"Grayson Kris","6446678835","27/01/22 04:07:09 AM","00:42:57","57"
"Arjun Emmerich","6741632365","26/06/23 02:16:49 PM","00:44:05","5"
"Enrique Frami","6380715712","01/09/22 03:35:30 PM","00:03:52","52"
"Roberta Gorczany","6782844083","16/09/21 03:03:24 PM","00:16:16","16"
"Adolphus McGlynn","7674284835","27/04/22 08:03:15 AM","00:50:37","37"
"Barrett Ritchie","8621786146","19/03/23 10:30:16 PM","00:03:19","19"
"Isom Schumm","6287361620","06/07/22 02:13:30 PM","00:43:15","15"
"Carroll Rowe","7483527142","10/05/21 05:09:41 AM","00:40:36","36"
"Zakary Jerde","7558066525","27/01/22 09:28:49 AM","00:49:19","19"
"Gail Kunde","7144608124","26/04/21 11:50:02 PM","00:51:08","8"
"Alisa Schoen","6264071647","10/12/21 06:32:25 AM","00:44:17","17"
"Mina Jones","8122755614","09/12/22 06:17:47 PM","00:53:47","47"
"Arjun Emmerich","6741632365","13/03/21 08:05:05 AM","00:11:49","49"
"Shaniya Shields","8214805385","21/08/21 05:50:57 AM","00:46:30","30"
"Roberta Gorczany","6782844083","09/07/22 05:03:04 AM","00:38:51","51"
"Gail Kunde","7144608124","29/06/21 10:14:45 PM","00:34:38","38"
"Dexter Rodriguez","7567834867","09/04/23 11:54:16 AM","00:38:59","59"
"Katelin Dicki","7771071266","17/03/23 11:02:41 AM","00:26:39","39"
"Eulalia Carter","6620381605","14/10/21 10:10:07 AM","00:50:18","18"
"Jordyn Kunde","8074652402","13/05/22 07:03:06 PM","00:04:58","58"
"Meagan Torp","8815612476","28/02/21 06:59:45 PM","00:06:43","43"
"Izabella Price","6302575247","23/01/23 04:09:01 AM","00:25:41","41"
"Cristopher Gislason","6542362170","29/03/23 05:04:54 AM","00:17:23","23"
"Theo Kihn","6825544206","04/03/21 09:50:37 PM","00:38:30","30"
"Roberta Gorczany","6782844083","26/01/21 04:17:05 PM","00:51:49","49"
"Maida Kassulke","7435070538","22/04/22 04:11:40 PM","00:21:01","1"
"Rhianna Towne","6388062322","11/05/23 09:21:11 AM","00:41:12","12"
"Alisa Schoen","6264071647","03/01/23 11:00:27 PM","00:23:28","28"
"Thad Sawayn","8187164073","30/01/22 07:08:47 PM","00:35:55","55"
"Jordan Toy","6637305371","25/06/22 12:00:52 PM","00:21:04","4"
"Cordia Weissnat","8714675243","29/10/21 07:47:54 PM","00:50:25","25"
"Morris Goldner","8880873376","27/07/22 04:29:49 AM","00:33:16","16"
"Bradley Herman","8134657302","29/05/23 01:10:23 PM","00:18:00","0"
"Destini Hilll","7748632750","05/03/22 05:52:27 PM","00:34:00","0"
"Abigayle Barton","8425588575","28/07/22 10:15:15 PM","00:27:11","11"
"Lysanne O'Conner","6716264882","13/06/23 11:20:47 PM","00:43:34","34"
"Mauricio Wilderman","6415734707","10/05/22 04:51:56 PM","00:41:48","48"
"Lucienne Konopelski","6800123174","03/07/21 10:33:35 AM","00:25:42","42"
"Alisa Schoen","6264071647","16/03/23 04:46:15 PM","00:23:03","3"
"Grayson Kris","6446678835","31/01/23 01:51:37 PM","00:43:49","49"
"Jacques Kessler","8027520724","06/04/21 07:08:27 PM","00:34:25","25"
"Tiara Blick","8544178677","07/06/22 09:12:02 AM","00:54:59","59"
"Gerard Bechtelar","7356483774","25/12/21 01:55:49 PM","00:15:26","26"
"Norval Runolfsson","8271406530","11/03/21 06:14:10 PM","00:15:07","7"
"Barrett Ritchie","8621786146","16/03/23 03:02:11 AM","00:03:18","18"
"Darren Heathcote","7444817032","09/08/21 11:14:31 PM","00:56:01","1"
"Mireya Gusikowski","6171017041","18/05/22 04:18:07 PM","00:07:42","42"
